Collector,Higher taxon,Taxon,miss mC,miss mT,miss  man-D,miss ped-D,miss_FL,miss_HL,mc,mpp,mmp,mdp,mt,ppp,pmp,pdp,h,f,Museum - Coll. #,locality,notes,Sex/age,pf-H,pf-w,m1-L,m1-W,m2-L,m2-W,hm1,hm2,hm3,hm4,hm5,m2-5 av,hpp1,hpp1-w,hpp2,hpp2-w,hpp3,hpp3-w,hpp4,hpp4-w,hpp5,hpp5-w,hpp2-5 av,hmp2,hmp3,hmp4,hmp5,hmp2-5 av,hdp1,hdp2,hdp3,hdp4,hdp5,hdp2-5 av,HU(AP),HU(ML),notes,fm1,fm2,fm3,fm4,fm5,fm2-5 av,fpp1,fpp1-w,fpp2,fpp2-w,fpp3,fpp3-w,fpp4,fpp4-w,fpp5,fpp5-w,fpp2-5 av,fmp2,fmp3,fmp4,fmp5,fmp2-5 av,fdp1,fdp2,fdp3,fdp4,fdp5,fdp2-5 av,FE(AP),FE(ML),GM,ln GM,BM,ln BM,Ast-w,CW,CD,,radius L,Ulna L,PI,BZ,md3 length,md4 length,md3/md4,mc3/mc4,mc2/mc3,pd3 length,pd4 length,pd3/pd4,mt3/mt4,pp2/pp4,md3 prehens,md4 prehens,pd3 prehens,pd4 prehens,mc/mt,md/pd,mt3/pp3,mt1/mt3,Mpp3/ip3,Ppp3/ip3
"Yapuncich, G",Hominoidea,Symphalangus syndactylus,,,,,,,,,,,,,,,,,AMNH 102463,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,52.7,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Yapuncich, G",Hominoidea,Symphalangus syndactylus,,,,,,,,,,,,,,,,,AMNH 90337,,from Sergio,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,45.3,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,,,,
"Boyer, D",Cercopithecoidea,Allenopithecus,,,yes,yes,,,y,y,y,n,y,n,n,n,y,y,AMNH M-86856,,,,na,na,,,,,20.80,30.97,31.00,29.10,26.91,,11.41,2.95,16.95,3.34,21.76,4.19,20.40,3.89,16.80,2.98,,11.66,14.93,14.23,10.93,,na,na,na,na,na,,9.2,10.7,,30.8,43.7,46.24,45.98,43.62,,13.69,3.8,na,na,na,na,na,na,na,na,,na,na,na,na,,na,na,na,na,na,,13.2,10.2,,,,,,,,,,,,,na,na,na,1.06529209621993,0.999032258064516,na,na,na,1.00565463244889,na,1.18354838709677,1.19003436426117,na,na,0.670415224913495,na,,0.666089965397924,1.45746818486269,na
"Boyer, D",Cercopithecoidea,Allenopithecus,,,yes,yes,,,y,y,n,n,y,y,n,n,y,y,USNM 300808,,,,7.37,5.67,,,,,18.01,27.00,26.91,25.33,22.23,,na,na,16.71,3.35,19.42,3.99,18.65,3.68,14.83,2.57,,na,na,na,na,,na,na,na,na,na,,6.3,6.7,,25.7,37.5,39.9,39.2,36.7,,11.48,3.44,17.9,2.53,21.52,3.45,20.59,3.26,16.07,2.33,,na,na,na,na,,na,na,na,na,na,,11.3,8.5,,,,,,,,,,,,,na,na,na,1.06237662850375,1.00334448160535,na,na,na,1.01785714285714,0.869354055366683,na,na,na,na,0.674436090225564,na,1.85408921933086,0.644110275689223,,
"Boyer, D",Cercopithecoidea,Allenopithecus,,yes,yes,yes,,,y,y,n,n,n,y,n,n,y,y,USNM 395131,,,,7.48,4.88,,,,,16.36,25.89,24.64,23.22,20.50,,9.67,2.45,15.30,3.06,17.77,3.29,16.70,3.02,13.48,2.46,,na,na,na,na,,na,na,na,na,na,,5.6,8.1,,25.05,35.1,na,37.2,34.8,,11.01,3.29,16.53,2.63,19.79,3.16,18.66,3,15,2.3,,na,na,na,na,,na,na,na,na,na,,10.2,7.4,,,,,,7.04,4.98,,,,,,na,na,na,1.06115417743325,1.05073051948052,na,na,na,na,0.885852090032154,na,na,na,na,na,na,,,,
,,Allenopithecus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,1.06294096738564,1.0177024197168,#DIV/0!,#DIV/0!,#DIV/0!,1.01175588765302,0.877603072699419,1.18354838709677,1.19003436426117,#DIV/0!,#DIV/0!,0.672425657569529,#DIV/0!,1.85408921933086,0.655100120543574,1.45746818486269,na
"Yapuncich, G",Cercopithecoidea,Cercocebus torquatus atys,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 157995,,,,10.76,6.67,6.91,5.91,7.73,7.02,21.50,38.65,37.96,35.99,35.61,,12.53,3.44,20.94,3.84,24.42,4.36,24.18,3.92,20.19,3.25,,11.94,16.66,17.2,13.03,,7.53,7.52,9.29,10.42,8.37,,11.05,10.59,,35.64,47.84,50.6,50.78,49.22,,15.07,4.67,22.61,2.88,26.78,4.05,25.63,3.71,20.03,2.88,,11.67,17.39,16.37,12.27,,9.12,7.61,10.45,9.57,8.41,,11.48,11.83,,,,,10.7,11.13,6.14,,,,,,88.33,87.79,1.00615104225994,1.05473742706307,1.018177028451,105.22,102.35,1.02804103566194,0.996455297361166,0.88216933281311,1.08219178082192,1.14976382328425,0.872924901185771,0.827097282394644,0.750197628458498,0.839479186466451,1.88946975354742,0.704347826086957,1.46578631452581,1.53996549741231
"Yapuncich, G",Cercopithecoidea,Cercocebus torquatus atys,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 48828,,,M,12.11,8.15,7.35,5.43,8.51,7.51,23.28,40.59,40.87,39.11,35.69,,15.45,3.41,24.02,4.22,28.08,4.73,26.19,4.48,22.71,3.65,,15.35,18.27,17.74,13.89,,8.46,8.95,9.84,10.52,9.72,,13.69,11.72,,40.57,52.46,54.86,54.22,51.95,,17.31,5.12,24.91,3.52,29.25,4.3,27.59,4.12,21.85,3.31,,14.17,18.17,17.65,12.88,,10.75,8.73,10.81,10.75,9.03,,11.84,12.99,Ray attributions uncertain for pedal DPs,,,,11.39,11.25,6.39,,,,,,97.06,93.56,1.03740914920906,1.04500127844541,0.993149009053095,113.09,110.21,1.02613192995191,1.01180376244928,0.90286335628851,1.13408367996085,1.12324213756073,0.864382063434196,0.83437845813353,0.744987240247904,0.858254487576267,1.87555555555556,0.739518775063799,1.53694581280788,1.60979636763897
,,Cercocebus torquatus atys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.695,90.675,1.0217800957345,1.04986935275424,1.00566301875205,109.155,106.28,1.02708648280693,1.00412952990522,0.89251634455081,1.10813773039138,1.13650298042249,0.868653482309983,0.830737870264087,0.747592434353201,0.848866837021359,1.88251265455149,0.721933300575378,1.50136606366685,1.57488093252564
"Yapuncich, G",Cercopithecoidea,Cercopithecus mitis albogularis,,,,,,,y,y,y,y,y,y,y,y,y,y,FMNH 165382,,,,9.23,5.87,5.54,4.51,5.89,5.12,18.06,30.02,31.51,29.33,25.25,,12.61,2.61,20.81,3.71,24.19,3.60,22.87,3.44,19.48,2.62,,13.04,17.35,17.17,12.91,,6.79,6.72,8.64,8.52,6.86,,9.91,8.94,,29.55,45.07,48.18,48.26,47.24,,15.29,3.74,21.58,2.68,26.18,3.5,24.9,3.12,20.47,2.53,,12.84,17.79,17.35,12.65,,8.71,8.66,10.64,10.05,8.13,,9.82,10.65,,,,,9.76,art,art,,,,,,81.69,77.89,1.04878675054564,1.07432662802591,0.952713424309743,102.79,100.56,1.02217581543357,0.998342312474099,0.866666666666667,1.31831164709616,1.36515513126492,0.912619344126193,0.87546622461666,0.654005811540058,0.794727113532445,1.84033613445378,0.61332503113325,1.39423631123919,1.47161326587971
